moneyness_bucket,maturity_bucket,option_type,n,mean_err,median_err,std_err
atm,long,call,585,842.4606223887529,649.8340299583542,1526.9129086463986
atm,long,put,309,1389.2459906645831,1192.3651603347644,1040.4784706794758
atm,medium,call,282,981.8414292152146,592.7996868921546,1362.8366287505307
atm,medium,put,278,1062.5407152672155,855.090441069744,747.1686160377726
atm,short,call,236,451.6886526641704,230.07165682018694,882.8831660926691
atm,short,put,233,557.4453892088362,343.2138591963849,846.8908529662443
deep_itm,long,call,3001,-4.907605272078858,50.26072807318269,1381.5427296514165
deep_itm,long,put,645,505.38936881399866,353.74747438675456,510.0116149665943
deep_itm,medium,call,1244,294.70530491635805,25.756661100565907,1367.7455875111991
deep_itm,medium,put,865,243.04004975734628,149.84433911213222,288.9993657011233
deep_itm,short,call,1167,-261.948759629868,-168.36259741736285,1391.7722895876545
deep_itm,short,put,972,59.308068314981554,25.0,102.4159197160351
deep_otm,long,call,1543,846.8557806585404,551.0967742045214,1053.0586183861658
deep_otm,long,put,360,2385.4423930077214,1995.9022533924663,1938.730267009162
deep_otm,medium,call,796,392.454292649707,163.44371137831968,688.6943144517664
deep_otm,medium,put,447,902.8298678491938,895.8863951255407,1065.1057664529824
deep_otm,short,call,823,86.98179072320121,24.610549629252297,207.79773012513033
deep_otm,short,put,486,217.35854178718859,193.8135075454975,1863.1199113815508
itm,long,call,679,483.7663053336962,302.643265820805,1435.8748976245156
itm,long,put,312,1041.7026373670253,878.5259317311643,842.6635304922299
itm,medium,call,290,639.2852153068026,294.0320584401352,1348.2973409144286
itm,medium,put,286,713.3039909697006,488.98752019149447,620.6507975839696
itm,short,call,277,91.38032162139739,-23.10716002657864,1026.4454258634005
itm,short,put,279,312.1444233248768,158.05543153586473,456.0752742225705
otm,long,call,531,1006.2907638126228,781.0194327871668,1375.535309553898
otm,long,put,205,1746.2891538822314,1507.2706343290283,1279.002583955888
otm,medium,call,236,975.9154552834127,611.8621312332002,1190.1779801132916
otm,medium,put,222,1139.4805978940115,983.6506807701553,928.8716329503266
otm,short,call,215,400.1912314773125,173.07952272723628,631.9745639835826
otm,short,put,208,489.22455368913404,301.5569681106663,1065.3210277634334
